Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
WZP-3_S34_R2_001	WZP-3_S34_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19071024.0	2.8 Gbp	0.0	151.0	38.0	86.67546453124689	151.0	151	pass	fail	fail	pass	pass	warn	fail	pass	pass	pass	pass
WZP-4_S35_R1_001	WZP-4_S35_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13406220.0	2 Gbp	0.0	151.0	38.0	82.67572235305735	151.0	151	pass	fail	fail	pass	warn	warn	fail	pass	pass	pass	pass
WZP-4_S35_R2_001	WZP-4_S35_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13406220.0	2 Gbp	0.0	151.0	38.0	84.31299642546048	151.0	151	pass	fail	fail	pass	pass	warn	fail	pass	pass	pass	pass
WZP-5_S36_R1_001	WZP-5_S36_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14928854.0	2.2 Gbp	0.0	151.0	36.0	86.48177646525491	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
WZP-5_S36_R2_001	WZP-5_S36_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14928854.0	2.2 Gbp	0.0	151.0	36.0	88.32750847537338	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
WZP-6_S37_R1_001	WZP-6_S37_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13213925.0	1.9 Gbp	0.0	151.0	36.0	80.43690267524876	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
WZP-6_S37_R2_001	WZP-6_S37_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13213925.0	1.9 Gbp	0.0	151.0	36.0	82.39827648817152	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
WZP-7_S38_R1_001	WZP-7_S38_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13327284.0	2 Gbp	0.0	151.0	38.0	81.54831935664656	151.0	151	pass	fail	fail	pass	pass	warn	fail	pass	pass	pass	pass
WZP-7_S38_R2_001	WZP-7_S38_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13327284.0	2 Gbp	0.0	151.0	38.0	83.22877917677914	151.0	151	pass	fail	fail	pass	pass	warn	fail	pass	pass	pass	pass
WZP-8_S39_R1_001	WZP-8_S39_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16693370.0	2.5 Gbp	0.0	151.0	38.0	81.08453132030532	151.0	151	pass	fail	fail	pass	pass	warn	fail	pass	pass	pass	pass
WZP-8_S39_R2_001	WZP-8_S39_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16693370.0	2.5 Gbp	0.0	151.0	39.0	82.7431698734483	151.0	151	pass	fail	fail	pass	pass	warn	fail	pass	pass	pass	pass
WZP-9_S40_R1_001	WZP-9_S40_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22247704.0	3.3 Gbp	0.0	151.0	38.0	83.51323228151347	151.0	151	pass	fail	fail	pass	pass	warn	fail	pass	pass	pass	pass
WZP-9_S40_R2_001	WZP-9_S40_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22247704.0	3.3 Gbp	0.0	151.0	38.0	85.39127800108837	151.0	151	pass	fail	fail	pass	pass	warn	fail	pass	pass	pass	pass
